#REF!,No,Name proyect,Orientation,Defect,Urgency,Drop,Level,PHOTO 1,PHOTO 2,PHOTO 3,PHOTO 4,PHOTO 5,PHOTO 6,PHOTO 7,PHOTO 8,PHOTO 9,STATUS,STATUS,,,TECHNICIAN START,DATE 1ST PHOTO,TIME 1ST PHOTO,TECHNICIAN COMPLETED,DATE COMPLETED,TIME COMPLETED,mapping,NAME PROJECT:,COMMENT ,Base (m),Height (m),Linear Meters,Quantity
1,1,CRONULLA JOB,BUILDING,RENDER REPAIR,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/hQota3lCGmsanHvLpLDe.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/bCInz49nxcj4hV4ePtrR.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,21/08/2026,12:03:54,,17/08/2026,14:10:47,STAGE 2,CRONULLA JOB,,,,,
2,2,CRONULLA JOB,BUILDING,RENDER REPAIR,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/k2KooI1ZwLBOaNFJWVXi.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/H7LR2rG1h5B8W1dlXQZ8.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,21/08/2026,11:41:41,,17/08/2026,10:43:23,,,,,,,
3,3,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/mQr7gIQORtPIiD42OHoJ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/bmEGmoR30YomUtSMYsWv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/4G1gFgvgKyoHUIzoqHKD.jpg,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:44:11,,17/08/2026,10:44:28,,,,,,,
4,4,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/vDto6HInFzYdCTJ6aaa4.jpg,,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:44:49,,17/08/2026,10:45:16,,,,,,0.4,
5,5,CRONULLA JOB,BUILDING,RENDER REPAIR,HIGH,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/8EU2nYpwWhTUynYhOP63.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/J32qQMd5im5SNIfSpfSX.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:54:43,,17/08/2026,10:45:59,,,,,,,
6,6,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/53xMcTLGFVTyhSLyiN4f.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/nsWvcpELZRp0XcGMhzfg.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,21/08/2026,11:40:07,,17/08/2026,10:47:07,,,,,,,
7,7,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/uaxHyy87HRhialHiOEhV.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/x7wXAUm9FYnb63Byf64I.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,21/08/2026,11:40:48,,17/08/2026,10:48:31,,,,,,3,
8,8,CRONULLA JOB,BUILDING,RESEALING WORKS,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Zhyt7DGWhVYpnxE6R0Gv.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/r7OS3ZwOMXWsH67EtYxP.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:42:47,,17/08/2026,11:00:41,,,,,,3,
9,9,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Ya5dGFzdnEhwYy8d5ndf.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/qnqeIxgKlfa65WZFV312.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/a4ghe0K0x9U7kTBC144Q.jpg,,,,,,,BEFORE,BEFORE,,,César Meneses,21/08/2026,11:42:48,,17/08/2026,10:53:56,,,Ceiling parking residence,,,,
10,10,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/wZQT46MxztgoD68FUqoT.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/GCt8FvdGc8pjFFBMbUGl.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:43:20,,17/08/2026,10:55:43,,,,,,,
